               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  57,            0.037594,            0.036993,            0.015401,             0.65078,             0.42788,              0.4917,             0.26265,            0.042311,            0.031779,            0.018503,            0.004456,            0.004456,            0.004456
                  58,            0.037302,            0.036218,            0.015169,             0.63821,             0.43864,             0.49735,             0.26291,             0.04202,            0.031117,             0.01833,            0.004357,            0.004357,            0.004357
                  59,            0.036984,            0.035946,            0.015445,             0.63827,             0.43647,             0.49177,             0.26194,            0.042232,            0.031285,            0.018416,            0.004258,            0.004258,            0.004258
                  60,            0.036868,            0.035863,            0.015362,             0.62983,             0.43598,             0.49426,             0.26428,             0.04206,            0.031234,             0.01833,            0.004159,            0.004159,            0.004159
                  61,            0.036762,            0.035666,             0.01501,             0.65951,             0.44263,             0.49992,             0.26943,            0.041919,             0.03141,            0.018375,             0.00406,             0.00406,             0.00406
                  62,              0.0363,            0.035308,             0.01463,             0.64809,               0.439,              0.5011,             0.27109,            0.041862,            0.031601,            0.018448,            0.003961,            0.003961,            0.003961
                  63,            0.036428,            0.034809,            0.015145,             0.62996,             0.44737,             0.49689,               0.267,             0.04178,             0.03122,             0.01842,            0.003862,            0.003862,            0.003862
                  64,            0.036407,            0.035223,             0.01518,             0.67843,             0.43571,             0.50456,             0.27217,            0.041803,            0.031279,            0.018328,            0.003763,            0.003763,            0.003763
                  65,            0.036131,            0.034687,            0.014686,             0.67467,             0.44224,             0.51078,             0.27765,            0.041663,            0.031318,            0.018323,            0.003664,            0.003664,            0.003664
                  66,            0.035883,            0.034265,            0.014736,             0.66518,              0.4433,             0.50528,             0.27936,            0.041571,            0.031768,            0.018285,            0.003565,            0.003565,            0.003565
                  67,            0.035703,            0.034256,            0.014586,             0.67079,             0.44935,             0.51094,             0.28152,            0.041389,            0.031207,             0.01819,            0.003466,            0.003466,            0.003466
                  68,             0.03578,            0.034406,            0.014848,             0.66391,             0.44127,             0.50517,             0.27979,            0.041915,            0.032218,            0.018472,            0.003367,            0.003367,            0.003367
                  69,            0.035288,            0.034197,             0.01455,             0.67801,             0.45182,             0.51484,             0.28637,            0.041371,            0.031505,            0.018374,            0.003268,            0.003268,            0.003268
                  70,            0.035523,            0.033872,            0.014674,             0.66864,             0.45265,             0.51762,             0.28745,            0.041351,            0.031629,            0.018288,            0.003169,            0.003169,            0.003169
                  71,            0.034838,            0.033413,            0.014452,             0.68776,             0.45124,             0.51365,             0.28823,            0.041131,            0.031864,            0.018204,             0.00307,             0.00307,             0.00307
                  72,            0.034532,            0.033109,             0.01417,             0.67013,             0.45041,             0.51264,              0.2869,            0.041151,            0.031394,            0.018175,            0.002971,            0.002971,            0.002971
                  73,            0.034804,            0.032853,            0.014334,             0.67243,              0.4531,             0.50815,             0.28828,            0.041233,            0.031925,            0.018442,            0.002872,            0.002872,            0.002872
                  74,             0.03482,            0.033291,            0.014233,             0.66211,             0.46622,             0.51897,             0.29251,            0.041051,            0.031579,             0.01839,            0.002773,            0.002773,            0.002773
                  75,            0.034237,             0.03324,            0.014019,              0.6744,             0.45246,             0.51108,             0.29196,            0.040937,            0.031886,            0.018355,            0.002674,            0.002674,            0.002674
                  76,            0.034291,            0.033118,            0.014345,             0.67377,             0.46045,             0.51483,             0.29299,            0.041057,            0.032101,             0.01835,            0.002575,            0.002575,            0.002575
                  77,             0.03422,            0.032498,            0.013815,             0.69879,             0.44845,              0.5202,             0.29748,            0.040901,            0.032001,            0.018325,            0.002476,            0.002476,            0.002476
                  78,            0.033819,            0.032472,             0.01388,             0.70238,             0.46277,             0.52653,             0.30196,             0.04079,            0.032055,            0.018337,            0.002377,            0.002377,            0.002377
                  79,            0.033921,            0.032242,            0.014088,             0.69216,             0.45872,             0.52199,              0.3022,            0.040644,            0.032242,            0.018348,            0.002278,            0.002278,            0.002278
                  80,            0.033622,            0.031742,            0.013861,             0.69301,             0.46217,              0.5246,              0.3028,             0.04082,            0.032545,            0.018471,            0.002179,            0.002179,            0.002179
                  81,            0.033455,            0.031531,            0.013865,             0.68361,             0.46428,             0.52322,             0.30144,            0.040729,            0.032215,            0.018379,             0.00208,             0.00208,             0.00208
                  82,            0.033368,            0.032037,             0.01369,             0.70336,             0.45891,             0.52219,               0.304,            0.040721,            0.032383,            0.018494,            0.001981,            0.001981,            0.001981
                  83,            0.033092,            0.031698,            0.013572,             0.71205,             0.45635,             0.52407,             0.30544,            0.040658,             0.03251,            0.018414,            0.001882,            0.001882,            0.001882
                  84,            0.033104,            0.031569,            0.013719,             0.70735,             0.45465,             0.52372,             0.30795,            0.040556,            0.032419,            0.018374,            0.001783,            0.001783,            0.001783
                  85,            0.033033,             0.03125,            0.013672,             0.70172,             0.46195,              0.5248,             0.30971,            0.040648,            0.032831,            0.018485,            0.001684,            0.001684,            0.001684
                  86,            0.032788,            0.030711,            0.013568,              0.7006,             0.47172,             0.52789,             0.31277,            0.040524,            0.032719,            0.018458,            0.001585,            0.001585,            0.001585
                  87,            0.032678,             0.03092,            0.013129,             0.69885,             0.47287,             0.53012,             0.31564,            0.040325,            0.032617,            0.018311,            0.001486,            0.001486,            0.001486
                  88,             0.03278,             0.03106,            0.013254,              0.7086,             0.46502,             0.52859,             0.31579,            0.040413,            0.032785,            0.018455,            0.001387,            0.001387,            0.001387
